Time (s);Axial;Horizontal;Vertical
0;-0.009265482;0.00176369;-0.012936221
0.000198413;-0.009265482;0.00176369;-0.012936221
0.000396825;-0.001598794;-0.002244162;-0.010825501
0.000595238;0.006193907;-0.013861692;0.006599559
0.000793651;-0.007494807;0.004101589;-0.002590404
0.000992063;-0.006638228;-0.0019245;-0.00923358
0.001190476;-0.006047099;0.003551315;0.00823964
0.001388889;-0.002443715;-0.003157266;-0.005747186
0.001587302;0.025600337;0.012987956;-0.015109406
0.001785714;0.004042976;0.007212687;-0.001263367
0.001984127;-0.009295452;-0.001551408;0.004226817
0.00218254;-0.005200117;0.002555497;0.015548958
0.002380952;-0.007036045;-0.01378532;0.008605613
0.002579365;0.00774207;-0.001685331;-0.000111209
0.002777778;-0.003904011;0.003538936;-0.008786188
0.00297619;0.007266026;0.015172217;0.002049698
0.003174603;-0.006591148;0.019705973;0.003773464
0.003373016;-0.008083757;0.009591918;-0.018183456
0.003571429;-4.17563E-05;0.006949019;-0.003518449
0.003769841;0.006003168;0.011085048;0.001733555
0.003968254;-0.011456811;0.0056439;0.007703556
0.004166667;0.003961254;0.01333373;-0.008897649
0.004365079;0.0111469;-0.005342942;-0.002573596
0.004563492;0.008047503;0.005313199;0.004748
0.004761905;0.011800968;-0.003268892;0.003764524
0.004960317;-0.005745444;0.00450965;0.002576007
0.00515873;0.008740116;-0.002970224;0.005184426
0.005357143;0.008166612;0.004725553;0.00123073
0.005555556;-0.004153154;-0.004692426;0.007094158
0.005753968;0.007351645;-0.010495829;-0.002934204
0.005952381;-0.005251757;-0.000877699;-0.006178127
0.006150794;0.013198857;0.004246294;-0.002510892
0.006349206;0.003514972;-0.008202892;-0.006919967
0.006547619;-0.010416129;-0.008979486;0.002859129
0.006746032;0.004363638;0.002796408;0.01475717
0.006944444;0.001629301;5.16026E-05;0.001702918
0.007142857;-0.009241091;0.000745524;-0.006842004
0.00734127;-0.004829645;0.001335557;-0.001818047
0.007539683;-0.00744161;-0.000706507;-0.019487129
0.007738095;-0.006001926;0.015956677;0.006874932
0.007936508;-0.020603306;-0.013123158;-0.01490079
0.008134921;0.007668023;0.000374503;0.007130756
0.008333333;-0.005024295;0.000522654;-0.001646505
0.008531746;0.010826152;0.001319568;-0.00870441
0.008730159;0.009554431;-0.000308583;0.004222645
0.008928571;0.008576058;0.002923358;0.003747715
0.009126984;0.01214457;-0.007085841;0.003243818
0.009325397;-0.000534351;-0.010864148;0.003882302
0.00952381;0.001931742;0.006834496;0.003375067
0.009722222;0.002804149;-0.013468249;0.003360404
0.009920635;-0.01056504;-0.004088596;0.004984273
0.010119048;-0.004255853;0.002346694;-0.010337458
0.01031746;0.005051338;-9.2948E-05;0.013097181
0.010515873;-0.001761686;0.001198973;0.008917107
0.010714286;-0.010295428;0.000539157;-0.016007052
0.010912698;-0.00164837;8.57E-07;0.009096636
0.011111111;0.006326773;-0.017712304;-0.004782902
0.011309524;-0.007656535;-0.01098349;-0.002503978
0.011507937;-0.005004513;0.002505261;0.016276254
0.011706349;-0.012719368;-0.000458615;0.006284608
0.011904762;-0.019448522;0.002236541;0.019689573
0.012103175;-0.000287145;-0.002075538;-0.012643562
0.012301587;-0.012656774;0.012486689;0.000515594
0.0125;0.009685074;0.007441778;-0.007928358
0.012698413;-0.004886873;-0.001308667;-0.001856314
0.012896825;0.006883387;-0.010683125;-0.006016002
0.013095238;0.009939477;-0.004338194;-0.016873823
0.013293651;0.010144197;0.004522364;0.006862058
0.013492063;0.007524506;-0.002822466;-0.000679003
0.013690476;-0.005160428;0.00436354;0.010554566
0.013888889;0.011753578;-0.003294887;0.011080159
0.014087302;0.007775251;0.006000362;-0.010279404
0.014285714;0.012058158;-0.009715973;0.005627884
0.014484127;0.001374539;-0.007081268;0.004379167
0.01468254;-0.001560866;-0.000651011;-0.005064712
0.014880952;0.014992923;0.012091767;-0.006416784
0.015079365;-0.003276683;0.006667033;0.007968678
0.015277778;-0.007184967;0.009448338;0.000402464
0.01547619;0.005266145;0.020695101;0.006153001
0.015674603;0.012464703;0.001119077;0.001387967
0.015873016;-0.00774491;-0.013404697;-0.008547412
0.016071429;0.012102664;-0.0008302;-0.016396867
0.016269841;0.004093443;-0.015991026;-0.005993353
0.016468254;-0.02128815;-0.012797615;0.018719329
0.016666667;-0.004167929;0.002752431;0.023148431
0.016865079;-0.007655622;-0.00042467;0.007722868
0.017063492;-0.005334991;0.001652714;-0.010644899
0.017261905;-0.008330129;-0.000140745;0.008654131
0.017460317;0.002102294;0.001613047;-0.000185118
0.01765873;0.012318831;-0.000167856;0.007554068
0.017857143;0.0072876;0.0018957;-0.009622918
0.018055556;0.012193636;-0.001293743;-0.012231575
0.018253968;-0.005439717;0.015668135;-0.013583289
0.018452381;-0.005722925;0.002311744;0.002800597
0.018650794;0.006986898;-0.014310425;0.00334598
0.018849206;-0.003529164;-0.000743969;0.004278673
0.019047619;0.00693024;-0.01424356;0.002329959
0.019246032;-0.004834115;0.00283999;0.005683436
0.019444444;0.012241371;0.000265434;-0.002053724
0.019642857;0.008541044;-0.003603045;-0.012936936
0.01984127;0.005609338;-0.01492;-0.014375435
0.020039683;-0.013120211;0.016107365;-0.002488242
0.020238095;0.00795484;0.005497809;-0.004486666
0.020436508;-0.002607092;0.000835217;-0.006138073
0.020634921;0.004045494;-0.00038112;0.008722319
0.020833333;0.011986226;0.002771418;-0.000478969
0.021031746;-0.005033936;-0.015023418;0.007263674
0.021230159;-0.007657887;0.000548914;-7.27041E-05
0.021428571;-0.003827579;3.23987E-05;0.007331504
0.021626984;0.006567296;0.001828436;-0.000613676
0.021825397;-0.003749243;-0.000758378;0.008882417
0.02202381;0.008012843;0.002735901;-0.005832539
0.022222222;-0.00982587;-0.001922017;-0.004289971
0.022420635;-0.004763346;0.004781611;-0.00361179
0.022619048;-0.007082674;-0.01038097;-0.0068606
0.02281746;-0.007316904;-0.006742071;0.006463184
0.023015873;0.003902671;0.00194557;0.002318157
0.023214286;0.001463246;0.001929331;0.004069223
0.023412698;-0.010655101;-0.013427021;0.00357808
0.023611111;-0.003089617;0.010841042;0.003086342
0.023809524;-0.009426251;0.005276706;0.004514231
0.024007937;0.011927113;-0.002424091;0.002074851
0.024206349;0.007090416;0.0039008;0.006523623
0.024404762;0.012166232;-0.004267071;0.017829074
0.024603175;0.00661365;-0.012236308;-0.000665413
0.024801587;0.013181247;0.002731282;-0.012850271
0.025;0.001823437;-0.000179114;0.016152038
0.025198413;-0.007600488;0.001305956;0.010125889
0.025396825;-0.000567726;0.000311814;0.005868806
0.025595238;0.016963605;0.000967271;-0.009407745
0.025793651;-0.016308613;0.000913206;-4.67165E-05
0.025992063;-0.011711716;-0.000399338;-0.00951861
0.026190476;-0.00521614;0.014687531;0.013402356
0.026388889;0.006756451;-0.009771103;-0.005971418
0.026587302;0.011031475;-0.003630253;-0.000366793
0.026785714;-0.008708897;0.004396334;0.005504979
0.026984127;-0.002344518;-0.003204277;0.003335609
0.02718254;0.006377381;0.005792145;0.000152601
0.027380952;-0.004275348;-0.008489087;-0.009813653
0.027579365;0.009337068;-0.007378727;0.001840247
0.027777778;-0.013895245;-0.006283317;-0.012610541
0.02797619;0.006020848;-0.009670571;0.012450351
0.028174603;0.007400942;0.003555987;-0.01186143
0.028373016;0.013525464;0.000440974;-0.000540005
0.028571429;-0.005572114;-0.010153417;0.00375296
0.028769841;0.007633128;-0.006487634;0.003966107
0.028968254;-0.004262223;0.018434349;0.003081097
0.029166667;0.007511192;7.32055E-05;0.004083289
0.029365079;-0.005494214;0.002229005;0.002735986
0.029563492;-0.006766308;-0.00139831;-0.013079034
0.029761905;-0.006411187;0.00527915;0.01048149
0.029960317;-0.006503485;0.013572499;0.011029376
0.03015873;-0.006069991;0.001903068;-0.007759796
0.030357143;-0.007742008;0.022733841;0.024145617
0.030555556;0.000907854;0.006265964;-0.013461695
0.030753968;0.005859439;0.001148872;-0.000362979
0.030952381;-0.014154024;-0.000716243;0.002293719
0.031150794;0.010717284;0.003484271;0.005622281
0.031349206;-0.006073884;-0.013693042;0.001287474
0.031547619;0.008751412;-0.00218351;0.006018533
0.031746032;-0.005796022;0.001623176;0.000842227
0.031944444;-0.004882462;0.000466928;0.006765737
0.032142857;0.007031449;0.000598058;-0.000939236
0.03234127;-0.005338028;0.001204643;-0.008618341
0.032539683;-0.009095299;4.91402E-05;0.002920522
0.032738095;1.15162E-06;0.001646954;0.005396856
0.032936508;0.008770131;-0.000557689;0.000889553
0.033134921;0.013286386;0.002698962;0.00770749
0.033333333;-0.0031077;-0.002600275;-0.008024917
0.033531746;0.011701644;0.012546055;-0.003496753
0.033730159;0.021420531;0.007643141;0.004919542
0.033928571;-0.006843183;-0.001940748;0.004235758
0.034126984;-0.005177494;0.002878573;-0.009726749
0.034325397;-0.007565291;-0.014263705;2.63588E-05
0.03452381;0.008783445;-0.00083979;0.005572094
0.034722222;0.010716036;0.001874644;0.001691236
0.034920635;0.006259241;-0.000519909;0.006218447
0.035119048;-0.003590658;0.002204835;-0.003366814
0.03531746;0.007477437;-0.001075829;-0.026778565
0.035515873;-0.006074529;0.003265686;0.017851009
0.035714286;0.016194072;-0.003350973;0.005922212
0.035912698;-0.001492906;0.011923212;-0.016920791
0.036111111;-0.005678791;0.008030031;-0.003270613
0.036309524;-0.008645769;0.000575743;0.007280959
0.036507937;0.005339902;-0.010963695;-0.009808884
0.036706349;0.01097931;-0.004836014;-0.001901136
0.036904762;0.008612711;0.002944913;0.019106878
0.037103175;0.010539998;0.013449613;0.00559689
0.037301587;0.007797555;0.003288977;0.001582159
0.0375;-0.004985827;-0.001778491;-0.010443793
0.037698413;-0.010590018;-0.016190518;0.002615227
0.037896825;-0.017795518;-0.012195468;-0.01562892
0.038095238;0.015820541;0.003123004;-0.006821857
0.038293651;0.001347632;-0.000635218;0.00514461
0.038492063;-0.007947642;0.00173343;0.002776517
0.038690476;0.000482273;-8.56259E-05;0.004166974
0.038888889;0.014434986;0.001390725;0.003087773
0.039087302;-0.003576993;0.000297997;0.003912105
0.039285714;-0.006170496;0.001015447;0.003342046
0.039484127;-0.007852861;0.000553604;0.003687514
0.03968254;0.008719635;0.000763442;0.003755106
0.039880952;0.008966405;0.001092486;-0.011930691
0.040079365;-0.005765825;-0.000690738;-0.011252509
0.040277778;-0.008034452;-0.014653029;0.00254847
0.04047619;-0.001906186;0.003916114;-0.012587534
0.040674603;0.006548342;-0.004944012;0.008131756
0.040873016;-0.005622617;-0.013029458;-0.000343428
0.041071429;0.016005807;0.006807398;0.008204951
0.041269841;0.002748769;-0.011202676;-0.007218705
0.041468254;0.025366568;-0.006482352;-0.011391865
0.041666667;0.003030483;0.002061166;-0.015600668
0.041865079;0.002881978;0.001549538;0.00199057
0.042063492;0.000149657;-0.01244399;-0.009882675
0.042261905;0.002679039;-0.002992146;0.000830306
0.042460317;0.014378012;0.002342153;-0.009883986
0.04265873;-0.01090081;0.000207394;0.017806901
0.042857143;-0.000256471;-0.00050072;0.001665725
0.043055556;0.003742066;-0.014959658;-0.011569486
0.043253968;-0.001636587;0.004098318;0.006896867
0.043452381;0.00904343;-0.001603179;-0.001902328
0.043650794;0.012804822;0.002775553;-0.015391217
0.043849206;-0.001284558;-0.001274429;-0.00467919
0.044047619;0.003055398;0.002833344;0.005818619
0.044246032;0.000732516;-0.001631308;0.001867427
0.044444444;0.001865209;0.004160102;0.005857124
0.044642857;0.002092891;-0.01419582;-0.009615646
0.04484127;-0.011815795;-0.001695393;-0.001559006
0.045039683;0.011508633;0.0008527;0.020731343
0.045238095;0.007313226;0.01682391;0.002159609
0.045436508;0.010948636;0.014435917;-0.010189877
0.045634921;-0.010325521;0.003538079;0.002903833
0.045833333;-0.000882871;0.012574252;0.005668296
0.046031746;0.009603296;-0.018681838;-0.002570377
0.046230159;0.007262949;0.01364322;-0.008579717
0.046428571;-0.0179257;0.008355953;0.006246223
0.046626984;-0.015660565;0.000291671;0.00324644
0.046825397;0.003530723;8.5201E-05;-0.004419552
0.04702381;0.013080739;0.00183082;-0.008355962
0.047222222;-0.003665454;-0.000599498;0.022736563
0.047420635;-0.00667167;0.002373632;-0.008731948
0.047619048;-0.007005792;-0.001411099;0.000646128
0.04781746;0.008699544;0.003824271;0.004586353
0.048015873;-0.006092879;0.011632528;0.002976312
0.048214286;-0.007082235;-0.010483589;0.004163756
0.048412698;-0.003690637;0.0154946;0.002556814
0.048611111;0.009074562;-0.001002731;0.007360233
0.048809524;-0.011624272;0.000990432;0.019386543
0.049007937;-0.001755997;0.00131499;-0.008265839
0.049206349;-0.012364018;-0.000793943;-0.004734026
0.049404762;0.00781503;0.00405122;0.005128636
0.049603175;-0.003144007;-0.012264045;0.00321628
0.049801587;0.0055491;-0.003669566;0.003284945
0.05;-0.002188619;-0.010289792;0.004842056
0.050198413;0.005411614;-0.004586313;-0.010746585
0.050396825;-0.002693556;0.003624182;0.00151111
0.050595238;-0.008593704;-0.00130784;0.003859653
0.050793651;-0.005050618;0.001796763;-0.012432681
0.050992063;-0.006180476;-0.019468459;0.005770697
0.051190476;0.013740443;-0.006909086;0.001906647
0.051388889;0.002710425;0.017410893;0.005223526
0.051587302;-0.006173904;-0.010268657;0.001561178
0.051785714;-0.008725222;-0.0084705;0.006651057
0.051984127;0.003297315;0.002746109;-0.006572948
0.05218254;0.002707612;-0.000119198;-0.00567566
0.052380952;-0.010315569;0.001159165;0.008694543
0.052579365;-0.003660276;0.000627179;-0.011554704
0.052777778;-0.008946211;0.000502545;0.000608815
0.05297619;-0.003985363;0.001318682;0.004451288
0.053174603;-0.008998394;-0.000228869;0.00318016
0.053373016;-0.003135133;0.002701256;0.00370635
0.053571429;0.007764418;0.01611634;0.003731503
0.053769841;0.012427375;0.018617753;0.002963676
0.053968254;0.003597405;0.011561986;0.00507213
0.054166667;-0.00645025;0.000189941;-0.002248274
0.054365079;-0.008233917;-0.000550578;-0.009909139
0.054563492;0.001412865;0.004328553;0.010218276
