Time (s);Axial;Horizontal;Vertical
0;-0.002239527;-0.000775669;-0.000452584
0.000198413;-0.002239527;-0.000775669;-0.000452584
0.000396825;-0.018670488;-0.011049361;0.011587077
0.000595238;-0.011694861;0.002728305;-0.005479879
0.000793651;0.022528457;0.003781765;0.00195139
0.000992063;-0.000131165;-0.004745499;0.015704327
0.001190476;-0.018131101;-0.009279926;0.010870391
0.001388889;-0.019886449;0.006521552;0.016111189
0.001587302;0.003437447;-0.000690062;0.001919919
0.001785714;0.008716842;0.004838701;-0.003647334
0.001984127;-0.005868943;-2.82819E-06;-0.003057605
0.00218254;0.002339577;0.004753738;-0.002278275
0.002380952;-0.003569009;-0.014109258;-0.004011518
0.002579365;0.000276232;0.018526274;0.014341527
0.002777778;-0.017049936;-1.56469E-05;-0.008157856
0.00297619;0.019463742;0.004917088;-0.012137062
0.003174603;-0.012348445;-0.00110269;0.011309796
0.003373016;-0.008860117;0.007486328;-0.001809723
0.003571429;-0.002466203;-0.009801649;0.018322044
0.003769841;0.00193678;0.002344738;0.004754418
0.003968254;-0.005775077;0.014247689;-0.013444728
0.004166667;0.013886625;-0.002610956;-0.011681623
0.004365079;0.00128617;0.005489393;0.001571053
0.004563492;0.0121591;-0.000185926;-0.006629056
0.004761905;0.001973299;0.004463776;0.00072264
0.004960317;-0.001909701;0.000167961;-0.007117278
0.00515873;-0.017553722;-0.011420996;-0.013153977
0.005357143;-0.014695199;0.002167232;0.009447389
0.005555556;-8.19357E-05;0.002511732;-0.001475817
0.005753968;-0.001013679;0.00253158;-0.006495601
0.005952381;-0.001597276;0.000886004;0.006301099
0.006150794;-8.53704E-05;0.009627498;0.005201035
0.006349206;-0.002199163;0.014197636;0.004138165
0.006547619;0.000742534;-0.003565308;0.007454449
0.006746032;-0.004196642;0.008012927;-0.007333285
0.006944444;0.013676601;-0.014152554;-0.000518686
0.007142857;0.001401963;0.001149739;0.007245952
0.00734127;0.012410818;0.001207627;0.017155105
0.007539683;0.000654483;-0.010613237;-0.005845613
0.007738095;-0.001623323;-0.000509524;0.000532144
0.007936508;-0.000738138;0.007659356;-0.007158584
0.008134921;-0.00115505;0.013885441;0.00446611
0.008333333;-0.001111312;0.003064725;0.007608586
0.008531746;-0.000623395;-0.00471912;-0.003001339
0.008730159;-0.001520099;-0.009153855;-0.005366511
0.008928571;-0.00052979;0.006293237;0.007688933
0.009126984;-0.001587896;-0.000575454;0.005018645
0.009325397;-0.000196324;0.005621816;-0.005789703
0.00952381;-0.001980996;-0.012279031;-0.001227862
0.009722222;-9.53766E-05;-0.000730206;-0.004133588
0.009920635;-0.001838313;0.003618076;-0.001940555
0.010119048;-0.000572337;0.001958455;-0.003526396
0.01031746;-0.018247584;0.0192629;0.015875512
0.010515873;0.003838191;-0.003706527;0.006135755
0.010714286;-0.008710248;-0.010201053;-0.016326076
0.010912698;-0.011596536;0.004969253;0.02252751
0.011111111;-0.000200091;-0.004200794;-0.000363297
0.011309524;-0.000269739;-0.012321246;0.008102828
0.011507937;-0.00263671;0.019788833;0.00388413
0.011706349;0.002097098;-0.00486647;-0.002654618
0.011904762;-0.015221936;-0.004752734;-0.015324718
0.012103175;-0.004673363;0.00499808;-0.007561988
0.012301587;0.012947524;0.001139711;-0.001359707
0.0125;0.016730571;-0.011705947;0.011234814
0.012698413;-0.020499434;0.001555457;0.013155514
0.012896825;-0.010454265;0.002430368;-0.00444997
0.013095238;-0.008160906;0.003047495;-0.001565045
0.013293651;-0.007043114;-0.001564414;-0.006879336
0.013492063;0.012053227;-0.016701688;-0.019491262
0.013690476;-0.001906952;-0.007159882;0.012308651
